bedrooms,bathrooms,stories,parking,width,length,quality,mainroad,guestroom,basement,hotwaterheating,airconditioning,prefarea,furnishingstatus_furnished,furnishingstatus_semi-furnished,furnishingstatus_unfurnished,price
4,2,2,2,53,120,2001,1,0,1,0,0,0,1,0,0,3570000
3,1,2,1,46,106,1640,0,0,0,0,0,0,0,0,1,2940000
3,1,1,2,61,140,2103,1,0,0,0,1,0,0,1,0,4900000
4,1,2,2,55,132,2877,1,0,1,0,0,0,0,1,0,9100000
2,1,2,0,41,104,2053,1,1,1,0,0,1,0,0,1,3990000
4,2,4,1,51,129,2592,1,0,0,0,1,0,0,1,0,7910000
3,2,2,1,54,132,2448,1,1,0,0,1,0,0,1,0,7350000
3,1,1,2,57,146,2680,1,0,0,0,0,0,0,1,0,5495000
3,2,4,1,53,130,2756,1,0,0,0,1,0,1,0,0,7525000
3,1,1,2,68,154,2318,1,1,1,0,1,1,0,0,1,6475000
3,1,1,0,47,125,2237,1,0,1,0,1,1,0,1,0,5110000
2,1,1,2,41,103,1706,1,0,1,0,1,0,1,0,0,3920000
3,1,2,1,60,140,2150,1,0,1,0,1,0,1,0,0,4760000
2,1,1,0,47,110,1467,1,0,0,0,0,0,0,0,1,2660000
3,1,2,2,48,122,2091,1,0,0,0,0,1,0,0,1,4550000
2,1,1,0,56,133,1662,1,0,0,0,0,0,0,0,1,3500000
2,1,1,1,38,96,1289,1,0,0,0,0,0,0,0,1,2100000
3,3,2,0,38,95,2331,1,0,1,0,0,0,0,1,0,5530000
3,2,2,0,46,107,2110,1,0,0,0,0,0,0,1,0,4095000
3,1,2,0,41,97,1351,1,0,1,0,0,0,0,0,1,2450000
4,1,1,0,40,104,1776,0,0,1,0,0,0,0,0,1,3990000
3,2,2,2,40,97,2573,1,0,0,0,0,0,0,1,0,5215000
3,1,1,0,43,102,2210,0,0,0,0,1,0,0,0,1,3500000
3,1,1,1,77,182,2345,1,0,1,0,1,1,1,0,0,7000000
3,1,1,0,49,118,2383,1,1,1,0,0,0,0,1,0,4900000
2,1,1,2,44,111,2353,1,0,0,0,1,0,1,0,0,4270000
3,1,3,1,36,82,2020,1,0,0,0,0,1,0,0,1,4200000
3,1,2,1,41,111,1808,1,0,0,0,0,0,0,1,0,4165000
3,1,1,2,65,149,2749,1,0,1,0,1,1,0,1,0,5950000
4,1,2,0,49,116,2092,1,0,0,0,0,0,0,1,0,3500000
2,1,2,0,53,122,1432,1,0,0,0,0,0,0,0,1,2450000
3,1,2,0,39,100,2161,1,0,1,0,0,0,1,0,0,4655000
3,1,2,2,58,149,2434,1,1,1,0,1,1,0,0,1,5250000
2,1,1,0,55,130,1743,0,0,0,0,0,0,0,1,0,3675000
2,2,1,2,34,90,2130,1,0,1,0,0,0,0,1,0,3850000
3,1,2,1,47,110,1899,1,0,0,0,0,0,0,0,1,2730000
3,1,1,2,39,98,1647,1,0,0,0,0,1,0,0,1,3633000
4,2,2,1,76,174,2158,1,1,1,0,0,0,0,1,0,4690000
3,1,2,0,32,82,1857,1,0,1,0,0,0,1,0,0,4550000
2,1,1,0,59,139,2259,1,0,0,0,0,0,1,0,0,4270000
